id,views,mean_rating,bayesian_rating,ratings,follows,manga_comments,chapter_comments
1,859275,8.93,8.89,1865,25274,106,1142
4,99135,8.66,8.59,720,8179,19,147
5,207552,7.93,7.94,1180,9066,27,50
6,137203,8.53,8.46,549,7138,28,116
7,151025,8.83,8.77,1173,11147,58,250
8,77599,8.6,8.52,567,5602,19,62
9,89566,7.84,7.86,379,4782,13,50
10,94465,7.44,7.55,335,4017,16,62
11,76123,8.35,8.27,286,5529,8,7
17,60764,8.18,8.13,299,4721,10,35
18,79933,8.89,8.8,762,4933,40,41
21,16641,7.91,7.93,136,780,13,10
22,61621,8.01,8.0,264,2997,25,19
23,30793,8.14,8.09,201,1901,13,9
25,80111,8.68,8.39,122,2751,17,44
28,48021,7.27,7.58,106,3157,6,7
29,114493,7.56,7.62,466,5416,35,168
30,99932,8.73,8.61,419,6589,19,33
34,90562,7.24,7.35,458,5793,35,211
35,201958,7.7,7.72,1079,9736,35,124
39,2440526,9.32,9.31,5921,53412,212,113
41,25381,7.81,7.88,108,1365,21,14
42,132005,8.84,8.62,247,6113,50,68
43,317267,6.22,6.62,282,8393,48,158
44,290170,8.68,8.58,490,13230,84,310
45,18007,8.97,8.62,157,1814,11,5
46,302232,8.65,8.51,323,12642,70,425
47,204459,7.8,7.81,2168,9484,474,0
49,120602,8.38,8.32,540,6836,18,256
51,182134,8.29,8.24,477,7706,29,29
52,46918,7.36,7.57,159,2926,5,6
54,100229,4.78,6.18,105,4500,15,46
56,22493,8.12,8.06,125,1600,11,28
61,177412,8.53,8.41,312,9303,75,441
62,27894,8.97,8.63,156,1379,7,152
63,83830,8.78,8.7,682,6178,8,141
65,138636,8.91,8.85,1253,11304,15,176
74,48626,7.68,7.76,203,2749,10,30
79,45812,9.03,8.61,122,1695,13,51
80,85104,8.23,8.19,465,5839,17,50
82,95639,8.72,8.64,702,5917,13,81
84,73312,7.92,7.92,531,5455,17,21
85,22063,8.53,8.29,108,1465,4,21
86,40307,7.71,7.79,199,2499,11,6
94,437211,9.23,9.15,1107,11051,109,487
98,16147,8.22,8.11,116,1291,8,3
99,19887,6.91,7.35,117,2133,11,4
100,153880,9.01,8.98,2225,10000,127,282
102,55902,7.95,7.95,186,2886,16,16
104,63116,8.73,8.58,334,3990,17,133
105,98420,7.39,7.55,206,4093,9,6
106,44964,8.6,8.5,453,3579,12,1
107,87952,8.45,8.36,382,4025,9,35
109,95511,8.44,8.37,414,4584,14,45
110,26757,8.26,8.18,225,1713,19,30
113,124191,9.05,8.97,1024,8862,26,72
114,56134,8.77,8.61,333,4031,8,27
116,73799,8.05,8.04,511,6630,18,41
117,56594,8.69,8.61,708,4006,22,23
121,103367,8.6,8.51,464,6741,16,161
122,59952,7.76,7.84,123,2173,6,16
125,48000,9.25,8.81,158,3001,18,52
