id,views,mean_rating,bayesian_rating,ratings,follows,manga_comments,chapter_comments,title
1,859275,8.93,8.89,1865,25274,106,1142,Tower of God
2,11561,7.83,7.93,29,628,9,86,Zippy Ziggy
4,99135,8.66,8.59,720,8179,19,147,Beelzebub
5,207552,7.93,7.94,1180,9066,27,50,Naruto
6,137203,8.53,8.46,549,7138,28,116,Shijou Saikyou no Deshi Kenichi
7,151025,8.83,8.77,1173,11147,58,250,The World God Only Knows
8,77599,8.6,8.52,567,5602,19,62,Psyren
9,89566,7.84,7.86,379,4782,13,50,Air Gear
10,94465,7.44,7.55,335,4017,16,62,GE ~Good Ending~
11,76123,8.35,8.27,286,5529,8,7,Noblesse
12,29327,6.91,7.6,43,1842,16,1,The Legend of Maian
13,11449,6.92,7.75,12,177,0,4,Zusun
14,14742,8.12,8.03,49,770,3,14,Green Boy
15,9849,8.44,8.1,32,831,2,0,Dr. Frost
16,18385,6.43,7.62,23,397,3,1,Thesis
17,60764,8.18,8.13,299,4721,10,35,Mayo Chiki!
18,79933,8.89,8.8,762,4933,40,41,Prunus Girl
21,16641,7.91,7.93,136,780,13,10,Sazanami Cherry
22,61621,8.01,8.0,264,2997,25,19,Himitsu no Akuma-chan
23,30793,8.14,8.09,201,1901,13,9,Reversible!
25,80111,8.68,8.39,122,2751,17,44,Kubera
28,48021,7.27,7.58,106,3157,6,7,Princess Lucia
29,114493,7.56,7.62,466,5416,35,168,Kimi no Iru Machi
30,99932,8.73,8.61,419,6589,19,33,Sora no Otoshimono
31,6058,7.89,7.95,10,257,2,1,Hanbun no Tsuki ga Noboru Sora
33,11918,8.22,8.07,55,861,7,4,Samurai High School
34,90562,7.24,7.35,458,5793,35,211,Cage of Eden
35,201958,7.7,7.72,1079,9736,35,124,Bleach
37,8327,7.65,7.91,20,850,3,0,Popcorn Avatar
39,2440526,9.32,9.31,5921,53412,212,113,One Piece
40,53776,7.48,7.73,77,2754,19,28,Crepuscule
41,25381,7.81,7.88,108,1365,21,14,I\'\'s
42,132005,8.84,8.62,247,6113,50,68,Baby Steps
43,317267,6.22,6.62,282,8393,48,158,Freezing
44,290170,8.68,8.58,490,13230,84,310,Iris Zero
